Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,Movie Name,Critics Score,Audience Score,Rerelease Date (Theaters),Release Date (DVD)
Joel Crawford,Mark Swift,"Paul Fisher, 
Tommy Swerdlow",Universal Pictures,DreamWorks Animation,PG (Rude Humor/Language|Action/Violence|Some Scary Moments),"Kids & Family, 
Comedy, 
Adventure, 
Animation",English,"Dec 21, 2022, Wide","Jan 6, 2023",$185.5M,1h 42m,"Dolby Atmos, 
Dolby Digital",Digital 2.39:1,Puss in Boots: The Last Wish,95%,94%,,
Martin Campbell,"Barbara Broccoli, 
Michael G. Wilson","Neal Purvis, 
Robert Wade, 
Anthony Waye, 
Ian Fleming",Sony Pictures Entertainment,"Eon Productions Ltd., 
Sony Pictures Entertainment, 
Metro-Goldwyn-Mayer",PG-13 (Nudity|A Scene of Torture|Sequences of Violent Action|Sexual Content),"Action, 
Adventure, 
Mystery & Thriller",English,"Nov 17, 2006, Wide","Nov 30, 2016",$167.0M,2h 24m,"Dolby SRD, 
DTS, 
SDDS",Scope (2.35:1),Casino Royale,94%,90%,,
Park Chan-wook,"Park Chan-wook, 
Syd Lim",Jeong Seo-kyeong,"Magnolia Pictures, 
Amazon Studios","Moho Film, 
CJ Entertainment, 
Yong Film",,"Mystery & Thriller, 
Drama, 
Romance",Korean,"Oct 21, 2016, Limited","Jan 30, 2017",$2.0M,2h 24m,Dolby Digital,,The Handmaiden,96%,91%,,
Mathieu Kassovitz,Christophe Rossignon,Mathieu Kassovitz,Gramercy Pictures,"Les Productions Lazennec, 
Canal+, 
Kasso Inc. Productions, 
Egg Pictures, 
PolyGram Filmed Entertainment",,Drama,French (France),"Sep 1, 1995, Limited","Mar 23, 2017",$130.3K,1h 38m,"Surround, 
Stereo",,La Haine,96%,95%,,
Federico Fellini,Dino De Laurentiis,"Federico Fellini, 
Ennio Flaiano, 
Tullio Pinelli, 
Carlo Ponti",Trans Lux,Ponti-De Laurentiis Cinematografica,,Drama,English,"Jul 16, 1956, Original","Oct 15, 2020",,1h 55m,,,La Strada,98%,93%,,
Akira Kurosawa,Minoru Jingo,"Ryûnosuke Akutagawa, 
Shinobu Hashimoto, 
Akira Kurosawa",RKO Radio Pictures,Daiei Motion Picture Company,,Drama,Japanese,"Dec 26, 1950, Wide","Mar 23, 2017",,1h 28m,Mono,Academy (1.33:1),Rashomon,98%,93%,,
Mark Sandrich,Pandro S. Berman,"Aladar Laszlo, 
Károly Nóti, 
Allan Scott, 
Dwight Taylor",RKO Radio Pictures,RKO Radio Pictures Inc.,,"Musical, 
Romance",English,"Sep 6, 1935, Wide","Aug 18, 2008",,1h 39m,Mono,Flat (1.37:1),Top Hat,100%,90%,,
Michel Hazanavicius,Thomas Langmann,Michel Hazanavicius,Weinstein Co.,"Jouror Productions, 
JD Prod, 
La Petite Reine, 
La Classe Américaine, 
uFilm, 
Studio 37, 
France 3 Cinéma",PG-13 (A Disturbing Image|A Crude Gesture),"Romance, 
Comedy, 
Drama",,"Nov 23, 2011, Limited","Feb 4, 2014",$44.7M,1h 40m,,,The Artist,95%,87%,,
Bernardo Bertolucci,Maurizio Lodi-Fè,"Bernardo Bertolucci, 
Alberto Moravia",Paramount Pictures,"Mars Film, 
Maran Film, 
Marianne Productions",R,Drama,Italian,"Oct 22, 1970, Original","Oct 24, 2014",$179.7K,1h 51m,Mono,Flat (1.85:1),The Conformist,98%,90%,"Jan 6, 2023",
Milos Forman,"Michael Douglas, 
Saul Zaentz","Lawrence Hauben, 
Bo Goldman","Pioneer Entertainment, 
Warner Home Vídeo, 
Republic Pictures, 
United Artists",Fantasy Films,R,Drama,English,"Nov 19, 1975, Original","Nov 30, 2016",,2h 13m,Mono,"35mm, 
Flat (1.85:1)",One Flew Over the Cuckoo's Nest,93%,96%,,
Norman Jewison,Walter Mirisch,Stirling Silliphant,MGM/UA Home Entertainment Inc.,Mirisch Company,,"Crime, 
Drama, 
Mystery & Thriller",English,"Aug 2, 1967, Wide","Feb 25, 2010",,1h 49m,,Flat (1.85:1),In the Heat of the Night,95%,92%,,
Steven Spielberg,Frank Marshall,"Lawrence Kasdan, 
George Lucas, 
Philip Kaufman",Paramount Pictures,"Paramount Pictures, 
Lucasfilm Ltd.",PG,"Adventure, 
Action",English,"Jun 12, 1981, Wide","Jan 28, 2014",$248.2M,1h 55m,"Magnetic Stereo 6 Track, 
Dolby Stereo, 
Surround",Scope (2.35:1),Raiders of the Lost Ark,93%,96%,"Sep 14, 2012",
"Tyler Nilson, 
Michael Schwartz","Tim Zajaros, 
Christopher Lemole, 
Albert Berger, 
Ron Yerxa","Tyler Nilson, 
Michael Schwartz",Roadside Attractions,"Harbor Picture Company, 
Bona Fide Productions, 
Nut Bucket Films, 
Armory Films",PG-13 (Smoking|Language Throughout|Some Violence|Thematic Content),"Comedy, 
Drama, 
Adventure",English,"Aug 23, 2019, Wide","Aug 27, 2019",$20.5M,1h 36m,,Scope (2.35:1),The Peanut Butter Falcon,95%,96%,,
Stanley Kubrick,"Kirk Douglas, 
James B. Harris","Humphrey Cobb, 
Stanley Kubrick, 
Calder Willingham, 
Jim Thompson","United Artists, 
Criterion Collection, 
MGM/UA Home Entertainment Inc.",Bryna Productions,,"War, 
Drama",English,"Oct 25, 1957, Original","Sep 16, 2008",,1h 26m,"Mono, 
Stereo","Flat (1.37:1), 
35mm",Paths of Glory,96%,95%,,
"Merian C. Cooper, 
Ernest B. Schoedsack","Merian C. Cooper, 
Ernest B. Schoedsack","James Ashmore Creelman, 
Ruth Rose",RKO Radio Pictures,RKO Radio Pictures Inc.,,"Adventure, 
Fantasy",English,"Mar 2, 1933, Original","Nov 28, 2008",,1h 40m,,,King Kong,97%,86%,,
Marcel Carné,Raymond Borderie,Jacques Prévert,Criterion Collection,Pathé Cinéma,,Romance,French (France),"Nov 15, 1945, Original","Mar 11, 2017",$31.9K,3h 15m,,,Children of Paradise,98%,95%,,
Marielle Heller,"Youree Henley, 
Peter Saraf, 
Marc Turtletaub, 
Leah Holzer","Noah Harpster, 
Micah Fitzerman-Blue, 
Tom Junod","TriStar Pictures, 
Sony Pictures Entertainment","Big Beach, 
TriStar Pictures",PG (Some Mild Language|A Brief Fight|Some Strong Thematic Material),"Biography, 
Drama",English,"Nov 22, 2019, Wide","Nov 22, 2019",$61.7M,1h 47m,,Flat (1.85:1),A Beautiful Day in the Neighborhood,95%,92%,,
"Phil Lord, 
Christopher Miller","Dan Lin, 
Roy Lee","Phil Lord, 
Christopher Miller",Warner Bros. Pictures,"LEGO System A/S, 
Lin Pictures, 
Vertigo",PG (Rude Humor|Mild Action),"Kids & Family, 
Comedy, 
Adventure, 
Animation",English,"Feb 7, 2014, Wide","Oct 31, 2015",$257.8M,1h 35m,,,The LEGO Movie,96%,87%,"Sep 15, 2023",
Richard Linklater,Anne Walker-McBay,"Julie Delpy, 
Richard Linklater, 
Ethan Hawke, 
Kim Krizan",Warner Independent,"Warner Independent Pictures, 
Detour Filmproduction, 
Castle Rock Entertainment",R (Sexual References|Language),"Romance, 
Drama",English,"Feb 10, 2004, Original","Oct 3, 2008",$5.8M,1h 20m,"Surround, 
Dolby SRD",Flat (1.85:1),Before Sunset,94%,91%,,
Pete Docter,Dana Leigh Murray,"Pete Docter, 
Mike Jones, 
Kemp Powers",Disney/Pixar,"Walt Disney Pictures, 
Pixar Animation Studios",PG (Thematic Elements|Some Language),"Kids & Family, 
Comedy, 
Adventure, 
Animation",English,"Jan 12, 2024, Wide","Dec 25, 2020",$870.6K,1h 40m,"Dolby Atmos, 
Dolby Digital",Digital 2.39:1,Soul,95%,88%,,
Ryan Coogler,"Irwin Winkler, 
Robert Chartoff, 
Charles Winkler, 
William Chartoff, 
David Winkler, 
Kevin King Templeton, 
Sylvester Stallone","Ryan Coogler, 
Aaron Covington",Warner Bros. Pictures,Chartoff Winkler,PG-13 (Some Sensuality|Language|Violence),Drama,English,"Nov 25, 2015, Wide","Aug 21, 2016",$109.7M,2h 13m,"Datasat, 
Dolby Digital, 
Dolby Atmos",Scope (2.35:1),Creed,95%,89%,,
Chad Stahelski,"Basil Iwanyk, 
Erica Lee, 
Chad Stahelski","Shay Hatten, 
Michael Finch",Lionsgate,"Summit Entertainment, 
87eleven, 
Thunder Road Pictures",R (Some Language|Pervasive Strong Violence),"Action, 
Mystery & Thriller",English,"Mar 24, 2023, Wide","May 23, 2023",$187.1M,2h 49m,Dolby Atmos,Digital 2.39:1,John Wick: Chapter 4,94%,93%,,
Rob Reiner,"Rob Reiner, 
Andrew Scheinman",William Goldman,20th Century Fox,"Act III Communications, 
Princess Bride Ltd., 
Buttercup Films Ltd.",PG,"Kids & Family, 
Adventure, 
Comedy",English,"Oct 1, 1987, Wide","Dec 23, 2016",$26.9M,1h 38m,"Surround, 
Dolby Stereo",Flat (1.85:1),The Princess Bride,96%,94%,,
F.W. Murnau,William Fox,"Hermann Sudermann, 
Carl Mayer, 
Katherine Hilliker, 
H.H. Caldwell","Critics' Choice Video, 
Fox",Fox Film Corporation,,"Drama, 
Romance",English,"Sep 23, 1927, Wide","Oct 1, 2015",,1h 50m,Mono,,Sunrise,98%,92%,,
Richard Linklater,"Richard Linklater, 
Christos V. Konstantakopoulos, 
Sara Woodhatch","Richard Linklater, 
Julie Delpy, 
Ethan Hawke",Sony Pictures Classics,"Faliro House, 
Castle Rock Entertainment, 
Venture Forth",R (Sexual Content/Nudity|Language),"Romance, 
Drama",English,"May 24, 2013, Limited","Oct 15, 2013",$8.1M,1h 49m,,,Before Midnight,98%,82%,,
David Lean,"Robert A. Harris, 
Sam Spiegel","Robert Bolt, 
Michael Wilson",Columbia Pictures,Horizon Films,PG,"Biography, 
History, 
Drama, 
Adventure",English,"Dec 16, 1962, Original","Apr 2, 2013",$6.0M,3h 42m,Surround,,Lawrence of Arabia,93%,93%,"Aug 11, 2024",
Alfred Hitchcock,Alfred Hitchcock,"Whitfield Cook, 
Patricia Highsmith, 
Czenzi Ormonde",Warner Bros. Pictures,Warner Bros.,PG,Mystery & Thriller,English,"Jun 30, 1951, Original","Aug 15, 2008",,1h 41m,Mono,35mm,Strangers on a Train,98%,92%,,
Billy Bob Thornton,"David Bushell, 
Brandon Rosser",Billy Bob Thornton,Miramax Films,Miramax,R,Drama,English,"Aug 30, 1996, Original","Dec 20, 2015",$24.5M,2h 16m,Surround,,Sling Blade,97%,92%,,
Travis Knight,"Arianne Sutner, 
Travis Knight","Marc Haimes, 
Chris Butler",Focus Features,"Laika, 
Focus Features",PG (Scary Images|Action and Peril|Thematic Elements),"Kids & Family, 
Fantasy, 
Adventure, 
Action, 
Animation",English,"Aug 19, 2016, Wide","Nov 8, 2016",$48.0M,1h 42m,Dolby Digital,Scope (2.35:1),Kubo and the Two Strings,97%,86%,,
Alexander Mackendrick,James Hill,"Ernest Lehman, 
Clifford Odets","United Artists, 
MGM/UA Home Entertainment Inc.","Norma Productions, 
Hill-Hecht-Lancaster Productions",,Drama,English,"Jun 27, 1957, Wide","Apr 29, 2017",,1h 36m,Mono,,Sweet Smell of Success,98%,91%,,
W. S. Van Dyke II,Hunt Stromberg,"Dashiell Hammett, 
Albert Hackett, 
Frances Goodrich",Metro-Goldwyn-Mayer,"Metro Goldwyn Mayer, 
Cosmopolitan Films",,"Comedy, 
Drama",English,"Jun 1, 1934, Wide","Jan 1, 2009",,1h 33m,,,The Thin Man,98%,94%,,
Sergio Leone,Bino Cicogna,"Dario Argento, 
Bernardo Bertolucci, 
Sergio Leone",Paramount Pictures,Paramount Pictures,PG-13,Western,Italian,"May 28, 1969, Original","Jun 6, 2014",,2h 45m,Mono,"35mm, 
Scope (2.35:1)",Once Upon a Time in the West,96%,94%,,
Michel Gondry,"Anthony Bregman, 
Steve Golin","Charlie Kaufman, 
Michel Gondry",Focus Features,"Anonymous Content, 
Focus Features, 
Blue Ruin, 
This Is That Productions",R (Some Drug Content|Language|Some Sexual Content),"Romance, 
Sci-Fi",English,"Mar 19, 2004, Original","Feb 12, 2014",$34.1M,1h 48m,"Dolby SRD, 
DTS, 
Surround",Flat (1.85:1),Eternal Sunshine of the Spotless Mind,92%,94%,,
Ang Lee,Lindsay Doran,"Jane Austen, 
Emma Thompson","Columbia TriStar Home Video, 
Columbia Pictures","Columbia Pictures Corporation, 
Mirage Enterprises",PG,"Comedy, 
Drama, 
Romance",English,"Dec 13, 1995, Original","Apr 16, 2012",$42.0M,2h 15m,Surround,,Sense and Sensibility,97%,90%,,
Spike Lee,"Sean McKittrick, 
Raymond Mansfield, 
Jason Blum, 
Jordan Peele, 
Spike Lee, 
Shaun Redick","Charlie Wachtel, 
David Rabinowitz, 
Kevin Willmott, 
Spike Lee",Focus Features,"40 Acres & A Mule Filmworks, 
QC Entertainment, 
Monkeypaw Productions, 
Blumhouse Productions",R (Language Throughout|Disturbing/Violent Material|Racial Epithets|Some Sexual References),"Comedy, 
Drama, 
Crime",English,"Aug 10, 2018, Wide","Oct 23, 2018",$48.6M,2h 14m,Dolby Atmos,Scope (2.35:1),BlacKkKlansman,96%,83%,"Jan 25, 2019",
Sofia Coppola,"Sofia Coppola, 
Ross Katz",Sofia Coppola,Focus Features,"American Zoetrope, 
Elemental Films",R (Some Sexual Content),"Comedy, 
Drama",English,"Sep 19, 2003, Wide","Jun 15, 2012",$44.6M,1h 42m,Surround,,Lost in Translation,95%,85%,,
Robert Bresson,Mag Bodard,Robert Bresson,"Rialto Pictures, 
Cinema Ventures","Parc Film, 
Svenska Filminstitutet, 
Svensk Filmindustri (SF) AB, 
Argos Films, 
Athos Films",,Drama,Canadian French,"Feb 19, 1970, Original","Mar 25, 2017",$39.4K,1h 30m,Mono,,Au Hasard Balthazar,100%,85%,,
Richard Linklater,"Richard Linklater, 
Cathleen Sutherland, 
Jonathan Sehring, 
John Sloss",Richard Linklater,IFC Films,Detour Filmproduction,R (Sexual References|Language|Teen Drug and Alcohol Use),Drama,English,"Jul 18, 2014, Wide","Jan 7, 2016",$25.4M,2h 45m,,,Boyhood,97%,80%,,
John Ford,Darryl F Zanuck,Nunnally Johnson,20th Century Fox,20th Century Fox,,Drama,English,"Mar 15, 1940, Original","Nov 30, 2016",,2h 9m,,,The Grapes of Wrath,100%,88%,,
John Carney,"Anthony Bregman, 
Martina Niland, 
John Carney",John Carney,Weinstein Co.,"PalmStar Media Capital, 
Cosmo Films, 
Likely Story, 
Distressed Films, 
FilmWave, 
Merced Media Partners",PG-13 (Drug Material|A Suggestive Image|Thematic Elements|Some Bullying Behavior|Strong Language|Teen Smoking),"Comedy, 
Drama, 
Romance, 
Music",English,"May 13, 2016, Wide","Nov 12, 2016",$3.2M,1h 46m,Dolby Digital,,Sing Street,95%,92%,"Jul 1, 2016",
Sergio Leone,"Arrigo Colombo, 
Giorgio Papi","Adriano Bolzoni, 
Víctor Andrés Catena, 
Jaime Comas Gil, 
Sergio Leone","Tobis Filmkunst, 
Metro-Goldwyn-Mayer Distributing Corp., 
United Artists, 
MGM/UA Home Entertainment Inc., 
Metro-Goldwyn-Mayer, 
Ízaro Films S.A., 
Unidis","Constantin Film, 
Ocean Films [es], 
Jolly Film",R,Western,Italian,"Jan 18, 1964, Wide","Jun 22, 2012",,1h 36m,Mono,,A Fistful of Dollars,98%,91%,,
Peter Weir,"Scott Rudin, 
Andrew Niccol, 
Edward S. Feldman, 
Adam Schroeder",Andrew Niccol,,"Paramount Pictures, 
Scott Rudin Productions",PG,"Comedy, 
Drama",English,"Jun 5, 1998, Original","May 1, 2012",$125.6M,1h 42m,Surround,,The Truman Show,94%,89%,,
Terry Jones,John Goldstone,"Graham Chapman, 
John Cleese, 
Terry Gilliam, 
Eric Idle, 
Terry Jones, 
Michael Palin","Warner Bros., 
Criterion Collection, 
Paramount Pictures","Handmade Films, 
Python (Monty) Pictures Limited",R,Comedy,British English,"Aug 17, 1979, Original","Mar 25, 2017",$150.2K,1h 33m,"Surround, 
Dolby Stereo",Flat (1.85:1),Life of Brian,96%,93%,"Apr 18, 2019",
Federico Fellini,Angelo Rizzoli,,"Embassy Pictures, 
Kino Pictures","Cineriz, 
Francinex",,Fantasy,English,"Jun 25, 1963, Wide","May 27, 2015",$50.7K,2h 15m,,,8 1/2,97%,92%,,
Noah Baumbach,"Noah Baumbach, 
David Heyman",Noah Baumbach,Netflix,"Heyday Films, 
Netflix",R (Sexual References|Language Throughout),Drama,English,"Nov 6, 2019, Limited","Dec 6, 2019",,2h 16m,,,Marriage Story,95%,85%,,
Steven Zaillian,"William Horberg, 
Scott Rudin",Steven Zaillian,"Argentina Video Home, 
Paramount Pictures",Mirage Entertainment,PG,"Biography, 
Drama",English,"Aug 11, 1993, Wide","Jan 1, 2011",$7.9M,1h 50m,Surround,,Searching for Bobby Fischer,100%,86%,,
Sergei M. Eisenstein,Jacob Bliokh,"Nina Agadzhanova, 
Nikolay Aseev, 
Sergei M. Eisenstein, 
Sergei Tretyakov","Amkino Corporation, 
Reel Media International [us], 
Grapevine Video, 
Image Entertainment Inc.",Goskino,,"History, 
Drama, 
Mystery & Thriller",Russian,"Dec 5, 1926, Original","Jul 15, 2008",$51.0K,1h 7m,,Academy (1.33:1),Battleship Potemkin,100%,86%,,
Preston Sturges,Preston Sturges,Preston Sturges,"Paramount Pictures, 
Criterion Collection",Paramount Pictures,,Comedy,English,"Jan 28, 1942, Original","May 6, 2015",,1h 31m,Mono,"35mm, 
Flat (1.37:1)",Sullivan's Travels,100%,89%,,
Jean-Pierre Melville,,Jean-Pierre Melville,Rialto Pictures,"Les Films Corona, 
Selenia Cinematografica",,"Crime, 
Drama",French (France),"Jan 2, 1970, Wide","Oct 8, 2016",$58.1K,2h 25m,Mono,,The Red Circle,96%,92%,"Jan 10, 2003",
Billy Wilder,Charles Brackett,"Charles R. Jackson, 
Charles Brackett, 
Billy Wilder",Paramount Pictures,Paramount Pictures,,Drama,English,"Nov 16, 1945, Wide","Mar 29, 2016",,1h 41m,Mono,Flat (1.37:1),The Lost Weekend,97%,89%,,
Henry Selick,"Tim Burton, 
Denise Di Novi, 
Kathleen Gavin","Michael McDowell, 
Caroline Thompson",Touchstone Pictures,"Touchstone Pictures, 
Skellington Productions",PG (Some Scary Images),"Kids & Family, 
Holiday, 
Fantasy, 
Comedy, 
Animation",English,"Oct 29, 1993, Wide","Jan 1, 2014",$6.1M,1h 15m,"Surround, 
Dolby SR, 
Dolby Digital, 
Dolby Stereo",Flat (1.85:1),Tim Burton's The Nightmare Before Christmas,95%,92%,"Oct 11, 2024",
Christopher Nolan,"Emma Thomas, 
Charles Roven, 
Christopher Nolan",Christopher Nolan,Universal Pictures,"Gadget Films, 
Universal Pictures, 
Syncopy, 
Atlas Entertainment",R (Nudity|Language|Some Sexuality),"Biography, 
History, 
Drama",English,"Jul 21, 2023, Wide","Nov 21, 2023",$329.7M,3h 0m,"Datasat, 
Dolby Digital",,Oppenheimer,93%,91%,,
Luis Buñuel,Serge Silberman,"Luis Buñuel, 
Jean-Claude Carrière","Criterion Collection, 
20th Century Fox, 
Media Home Entertainment, 
Rialto Pictures, 
Applause Video","Dean Film, 
Jet Films S.A., 
Greenwich Film Productions",PG,Comedy,Canadian French,"Sep 15, 1972, Original","Oct 8, 2016",$82.5K,1h 40m,Mono,,The Discreet Charm of the Bourgeoisie,98%,89%,,
Peter Jackson,"Peter Jackson, 
Barrie M. Osborne, 
Fran Walsh, 
Tim Sanders","Peter Jackson, 
Fran Walsh, 
Philippa Boyens, 
J.R.R. Tolkien",New Line Cinema,"New Line Cinema, 
WingNut Films, 
Saul Zaentz Company",PG-13 (Some Scary Images|Epic Battle Sequences),"Fantasy, 
Adventure",English,"Dec 13, 2001, Wide","Jun 28, 2011",$315.5M,2h 58m,"Dolby SR, 
DTS, 
Dolby Stereo, 
Surround, 
SDDS, 
Dolby A, 
Dolby EX, 
Dolby Digital",Scope (2.35:1),The Lord of the Rings: The Fellowship of the Ring,92%,95%,"Jun 8, 2024",
James Mangold,"Peter Chernin, 
Jenno Topping, 
James Mangold","Jez Butterworth, 
John-Henry Butterworth, 
Jason Keller",20th Century Fox,"Chernin Entertainment, 
20th Century Fox",PG-13 (Some Language and Peril),"History, 
Drama, 
Biography",English,"Nov 15, 2019, Wide","Nov 15, 2019",$117.6M,2h 32m,Dolby Atmos,Scope (2.35:1),Ford v Ferrari,92%,98%,,
Jim Sheridan,Noel Pearson,,Miramax Films,Granada Television,R,Biography,English,"Nov 10, 1989, Original","Apr 21, 2016",$14.5M,1h 43m,,,My Left Foot,98%,92%,,
Lenny Abrahamson,"Ed Guiney, 
David Gross",Emma Donoghue,A24,"Element Pictures, 
No Trace Camping",R (Language),Drama,English,"Jan 22, 2016, Wide","May 22, 2016",$14.7M,1h 58m,Dolby Digital,,Room,93%,93%,,
Peter Jackson,"Barrie M. Osborne, 
Fran Walsh","Peter Jackson, 
Philippa Boyens, 
Fran Walsh",New Line Cinema,"New Line Cinema, 
Saul Zaentz Company",PG-13 (Frightening Images|Intense Epic Battle Sequences),"Fantasy, 
Adventure",English,"Dec 3, 2003, Wide","Apr 6, 2010",$377.8M,4h 10m,Surround,,The Lord of the Rings: The Return of the King,94%,86%,"Jun 10, 2024",
Sam Wood,,,Metro-Goldwyn-Mayer,Metro Goldwyn Mayer,,Comedy,English,"Nov 15, 1935, Original","Jan 1, 2009",,1h 33m,,,A Night at the Opera,97%,90%,,
John Carpenter,"Debra Hill, 
John Carpenter","Debra Hill, 
John Carpenter",Compass International Pictures,"Falcon Films, 
Falcon International Productions",R,"Holiday, 
Horror, 
Mystery & Thriller",English,"Oct 25, 1978, Wide","Mar 18, 2017",$47.5M,1h 31m,Mono,Scope (2.35:1),Halloween,96%,89%,"Sep 27, 2018",
Ben Affleck,"Ben Affleck, 
Matt Damon, 
David Ellison, 
Jesse Sisgold, 
Jon Weinbach, 
Madison Ainley, 
Jeff Robinov, 
Peter Guber, 
Jason Michael Berman",Alex Convery,Amazon Studios,"Skydance Media, 
Amazon Studios, 
Mandalay Pictures, 
Artists Equity",R (Language),"Drama, 
Sports",English,"Apr 5, 2023, Wide","May 12, 2023",$52.4M,1h 52m,Dolby Digital,Flat (1.85:1),Air,93%,98%,,
Atom Egoyan,"Camelia Frieberg, 
Atom Egoyan","Russell Banks, 
Atom Egoyan","New Line Home Video [us], 
Fine Line Features",Téléfilm Canada,R,Drama,English,"Oct 4, 1997, Original","Jun 10, 2017",$4.4M,1h 50m,Dolby Digital,"35mm, 
Scope (2.35:1)",The Sweet Hereafter,98%,86%,,
Jacques Tati,Bernard Maurice,"Art Buchwald, 
Jacques Lagrange, 
Jacques Tati",Criterion Collection,"Jolly Film, 
Specta Films",,Comedy,Canadian French,"Jun 27, 1973, Wide","Mar 23, 2017",,1h 33m,Magnetic Stereo 6 Track,,Playtime,98%,89%,,
"Joel Coen, 
Ethan Coen","Scott Rudin, 
Joel Coen, 
Ethan Coen","Joel Coen, 
Ethan Coen",Paramount Pictures,"Scott Rudin Productions, 
Mike Zoss Productions",PG-13 (Int. Seq. of Western Violence|Disturbing Images),"Western, 
Drama",English,"Dec 22, 2010, Wide","Jul 1, 2013",$171.0M,1h 50m,"SDDS, 
Dolby Digital, 
DTS",,True Grit,95%,85%,,
John Krasinski,"Michael Bay, 
Andrew Form, 
Brad Fuller","Bryan Woods, 
Scott Beck, 
John Krasinski",Paramount Pictures,"Platinum Dunes, 
Sunday Night",PG-13 (Terror and Some Bloody Images),"Horror, 
Sci-Fi, 
Mystery & Thriller",English,"Apr 6, 2018, Wide","Jun 26, 2018",$68.4M,1h 30m,"SDDS, 
Dolby Digital, 
Dolby Atmos",Digital 2.39:1,A Quiet Place,96%,83%,,
Dee Rees,"Carl Effenson, 
Sally Jo Effenson, 
Cassian Elwes, 
Christopher Lemole, 
Kim Roth, 
Tim Zajaros, 
Charles D. King","Dee Rees, 
Virgil Williams",Netflix,"MMC Joule Films, 
Black Bear Pictures, 
Zeal Media, 
ArtImage Entertainment, 
Netflix, 
Armory Films, 
Elevated Films (II), 
MACRO",R (Some Disturbing Violence|Nudity|Brief Language),"History, 
Drama",English,"Nov 17, 2017, Limited","Nov 17, 2017",,2h 14m,,Scope (2.35:1),Mudbound,97%,85%,,
John Singleton,Steve Nicolaides,John Singleton,"Criterion Collection, 
Columbia Pictures",Columbia Pictures Corporation,R,Drama,English,"Jul 12, 1991, Original","Dec 15, 2010",$55.1M,1h 52m,Surround,,Boyz N the Hood,96%,93%,,
Terry Gilliam,Arnon Milchan,"Terry Gilliam, 
Charles McKeown, 
Tom Stoppard",Universal Pictures,Universal Pictures,R,"Comedy, 
Sci-Fi",British English,"Dec 18, 1985, Wide","Jan 1, 2015",$3.7M,2h 22m,"Dolby Stereo, 
Surround, 
Dolby A",Flat (1.85:1),Brazil,98%,90%,,
Theodore Melfi,"Donna Gigliotti, 
Peter Chernin, 
Jenno Topping, 
Pharrell Williams, 
Theodore Melfi","Allison Schroeder, 
Theodore Melfi",20th Century Fox,"Chernin Entertainment, 
Fox 2000 Pictures, 
Levantine Films",PG (Thematic Elements|Some Language),"History, 
Drama",English,"Jan 6, 2017, Wide","Mar 28, 2017",$169.3M,2h 7m,Dolby Digital,,Hidden Figures,93%,93%,,
Jean Renoir,"Albert Pinkovitch, 
Frank Rollmer",,"Barr Entertainment, 
Home Vision Entertainment",R.A.C.,,"Drama, 
War",Canadian French,"Sep 12, 1937, Wide","May 14, 2014",$516.5K,1h 57m,,,Grand Illusion,97%,92%,"May 11, 2012",
Francis Ford Coppola,Francis Ford Coppola,Francis Ford Coppola,Paramount Pictures,"The Directors Company, 
American Zoetrope",PG,Mystery & Thriller,English,"Apr 7, 1974, Original","Oct 1, 2011",$143.4K,1h 53m,,,The Conversation,93%,89%,"Aug 9, 2024",
Joel Coen,Ethan Coen,"Joel Coen, 
Ethan Coen",Gramercy Pictures,"Gramercy Pictures, 
PolyGram Filmed Entertainment",R (Sexuality|Language|Strong Violence),"Comedy, 
Crime, 
Drama, 
Mystery & Thriller",English,"Mar 15, 1996, Wide","Aug 27, 2015",$24.5M,1h 37m,"Dolby Stereo, 
Dolby A, 
Stereo, 
Surround, 
Dolby Digital, 
Dolby SR",Flat (1.85:1),Fargo,95%,92%,,
Henri-Georges Clouzot,Henri-Georges Clouzot,"Pierre Boileau, 
Henri-Georges Clouzot, 
Jérôme Géronimi, 
Frédéric Grendel, 
Rene Masson, 
Thomas Narcejac","Something Weird Video, 
Criterion Collection, 
Criterion Pictures","Filmsonor, 
Vera Films",,"Mystery & Thriller, 
Drama, 
Horror",French (France),"Jan 29, 1955, Original","Oct 19, 2017",,1h 56m,Mono,"Flat (1.37:1), 
35mm",Diabolique,95%,93%,,
Billy Wilder,Billy Wilder,"Billy Wilder, 
I.A.L. Diamond",,Mirisch Corporation,,"Comedy, 
Drama",English,"Jun 15, 1960, Original","Mar 29, 2016",,2h 5m,,,The Apartment,93%,94%,,
Ron Howard,Brian Grazer,"Jim Lovell, 
Jeffrey Kluger, 
William Broyles Jr., 
Al Reinert",Universal Pictures,"Imagine Entertainment, 
Universal Pictures",PG,"History, 
Drama",English,"Jun 30, 1995, Wide","Jun 14, 2012",$173.8M,2h 20m,Surround,,Apollo 13,96%,87%,,
Hayao Miyazaki,Toshio Suzuki,"Neil Gaiman, 
Hayao Miyazaki",Miramax Films,"Nippon Herald Films, 
Studio Ghibli, 
Dentsu",PG-13 (Images of Violence and Gore),"Adventure, 
Fantasy, 
Anime",Japanese,"Jul 12, 1997, Original","Dec 16, 2019",,2h 13m,"Dolby Digital, 
Dolby A, 
Dolby SR",Flat (1.85:1),Princess Mononoke,93%,94%,"Jul 13, 2024",
